Author,ISBN,Publisher,Title,ROW
Silberschatz,9.78E+12,McGraw-Hill,Database System Concepts,3
Stallings,9.79E+12,Pearson,Network Security Essentials,3
Gallager,9.79E+12,Prentice Hall of India,Data Communications And Distributed Networks,3
Dr. Sanjay Sharma,9.79E+12,S.K. Kataria & Sons,Data and Computer Communications,3
Fred Halsall,9.79E+12,Dorling Kindesley Pearson Education,Data Communications Computer N/W,3
Monika Khurana,9.79E+12,Laxmi Publications,Data Communication System,3
HERB SCHILDT,9.78E+12,MC GRAW HILL INDIA,Java,3
FOROUZAN,9.79E+12,Mc Graw Hill India,Cryptography And Network Security,3
James F. Kurose,9.79E+12,Pearson; (1 January 2012),Computer Networking,3
Srivastava,9.79E+12,New Age International Publishers,Relational Database Management System,4
Shamkant B. Navathe,9.79E+12,Pearson Education,Fundamentals of Database Systems Fourth Edition Low Price Edition,4
Elmasri,9.79E+12,Pearson India,Fundamentals of Database Systems,4
Elmasri,9.79E+12,Pearson India,Fundamentals of Database Systems,4
Shamkant B. Navathe,9.79E+12,Pearson Education,Fundamentals of Database Systems Fourth Edition Low Price Edition,4
Elmasri,9.79E+12,Dorling Kindersley,Fundamentals of Database Systems,4
Sudarshan,9.78E+12,McGraw-Hill Higher Education,Database,4
AlexisLeon & MathewsLeon,9.79E+12,Vikas Publishing,Database Management Systems - Leon,4
CENGAGE INDIA,9.79E+12,AFYOUNI,Database Security and Auditing,4
Shamkant B. Navathe,9.79E+12,Pearson Education,Fundamentals of Database Systems,4
Ozsu / Sridhar,9.79E+12,PEARSON EDUCATION,Principles of Distributed Database Systems,4
Chris J. Date,9.79E+12,Pearson Education Asia, Patparganj,4
Foley,9.79E+12,Pearson,Computer Graphics,5
Rogers,9.78E+12,Mc Graw Hill India,Mathematical Elements For Computer Graphics,5
Foley,9.79E+12,Pearson,Computer Graphics,5
Anil K. Jain,9.79E+12,,Fundamentals Of Digital Image Processing,5
Foley,9.79E+12,Pearson,Computer Graphics,5
Udit Aggarwal,9.79E+12,S. K. Kataria & Sons (Publishers),Computer Graphics,5
James D. Foley,9.78E+12,PEARSON Education,Computer Graphics,5
James D. Foley,9.78E+12,PEARSON Education,Computer Graphics,5
William M. Newman,70463387,TATA MCGRAW EDITION,Principles of Interactive Computer Graphics,5
William M. Newman,70463387,TATA MCGRAW EDITION,Principles of Interactive Computer Graphics,5
